Team1,Team2,Date,Venue,Result
RCB,KKR,4/22/2011,KKR,RCB
KXIP,DC,4/23/2011,DC,DC
DC,RCB,4/26/2011,DC,RCB
KKR,DC,4/28/2011,DC,KKR
RR,MI,4/29/2011,RR,RR
KKR,KXIP,4/30/2011,KKR,KKR
KXIP,MI,5/2/2011,MI,MI
RR,CSK,5/4/2011,CSK,CSK
RCB,KXIP,5/6/2011,RCB,RCB
MI,DC,5/7/2011,MI,MI
CSK,KKR,5/7/2011,KKR,KKR
RR,CSK,5/9/2011,RR,CSK
KXIP,MI,5/10/2011,KXIP,KXIP
RCB,RR,5/11/2011,RR,RCB
DC,CSK,5/12/2011,CSK,CSK
RCB,KKR,5/14/2011,RCB,RCB
KXIP,DC,5/15/2011,KXIP,KXIP
RCB,KXIP,5/17/2011,KXIP,KXIP
RR,MI,5/20/2011,MI,RR
RCB,CSK,5/22/2011,RCB,RCB
MI,KKR,5/22/2011,KKR,MI
RCB,CSK,5/24/2011,Neutral,CSK
MI,KKR,5/25/2011,MI,MI
RCB,MI,5/27/2011,RCB,RCB
RCB,CSK,5/28/2011,CSK,CSK
CSK,MI,4/4/2012,CSK,MI
KKR,DC,4/5/2012,KKR,DC
KXIP,RR,4/6/2012,RR,RR
DC,RCB,4/7/2012,RCB,RCB
KKR,RR,4/8/2012,RR,RR
DC,CSK,4/10/2012,DC,DC
RCB,KKR,4/10/2012,RCB,KKR
RR,MI,4/11/2012,MI,MI
RCB,CSK,4/12/2012,CSK,CSK
KKR,RR,4/13/2012,KKR,KKR
RCB,RR,4/15/2012,RCB,RR
KKR,KXIP,4/15/2012,KKR,KXIP
MI,DC,4/16/2012,MI,DC
KKR,KXIP,4/18/2012,KXIP,KKR
RCB,KXIP,4/20/2012,KXIP,RCB
RR,CSK,4/21/2012,CSK,CSK
KXIP,MI,4/22/2012,MI,KXIP
RCB,RR,4/23/2012,RR,RCB
RCB,CSK,4/25/2012,RCB,No Result
KXIP,MI,4/25/2012,KXIP,MI
MI,DC,4/27/2012,DC,DC
RCB,KKR,4/28/2012,KKR,KKR
CSK,KXIP,4/28/2012,CSK,KXIP
RR,DC,4/29/2012,DC,DC
CSK,KKR,4/30/2012,CSK,KKR
RR,DC,5/1/2012,RR,DC
RCB,KXIP,5/2/2012,RCB,KXIP
KXIP,RR,5/5/2012,KXIP,RR
CSK,MI,5/6/2012,MI,MI
KKR,DC,5/7/2012,DC,KKR
RCB,MI,5/9/2012,MI,RCB
RR,CSK,5/10/2012,RR,CSK
DC,CSK,5/12/2012,CSK,CSK
MI,KKR,5/12/2012,KKR,MI
CSK,KKR,5/14/2012,KKR,CSK
RCB,MI,5/14/2012,RCB,MI
KXIP,DC,5/15/2012,DC,DC
MI,KKR,5/16/2012,MI,KKR
DC,RCB,5/17/2012,DC,RCB
CSK,KXIP,5/17/2012,KXIP,KXIP
KXIP,DC,5/19/2012,KXIP,DC
RR,MI,5/20/2012,RR,MI
KKR,DC,5/22/2012,Neutral,KKR
CSK,MI,5/23/2012,Neutral,CSK
DC,CSK,5/25/2012,CSK,CSK
CSK,KKR,5/27/2012,CSK,KKR
KKR,DC,4/3/2013,KKR,KKR
RCB,MI,4/4/2013,RCB,RCB
CSK,MI,4/6/2013,CSK,MI
RR,DC,4/6/2013,DC,RR
SRH,RCB,4/7/2013,SRH,SRH
KKR,RR,4/8/2013,RR,RR
MI,DC,4/9/2013,MI,MI
SRH,RCB,4/9/2013,RCB,RCB
CSK,KXIP,4/10/2013,KXIP,CSK
RCB,KKR,4/11/2013,RCB,RCB
DC,SRH,4/12/2013,DC,SRH
RCB,CSK,4/13/2013,CSK,CSK
KXIP,RR,4/14/2013,RR,RR
KKR,SRH,4/14/2013,KKR,KKR
DC,RCB,4/16/2013,RCB,RCB
KKR,KXIP,4/16/2013,KXIP,KXIP
RR,MI,4/17/2013,RR,RR
DC,CSK,4/18/2013,DC,CSK
KXIP,SRH,4/19/2013,SRH,SRH
CSK,KKR,4/20/2013,KKR,CSK
RCB,RR,4/20/2013,RCB,RCB
MI,DC,4/21/2013,DC,DC
RR,CSK,4/22/2013,CSK,CSK
KXIP,DC,4/23/2013,DC,KXIP
MI,KKR,4/24/2013,KKR,MI
SRH,CSK,4/25/2013,CSK,CSK
KKR,KXIP,4/26/2013,KKR,KKR
SRH,RR,4/27/2013,RR,RR
RCB,MI,4/27/2013,MI,MI
CSK,KKR,4/28/2013,CSK,CSK
KXIP,MI,4/29/2013,MI,MI
RCB,RR,4/29/2013,RR,RR
MI,SRH,5/1/2013,SRH,SRH
KKR,DC,5/1/2013,DC,DC
CSK,KXIP,5/2/2013,CSK,CSK
KKR,RR,5/3/2013,KKR,KKR
DC,SRH,5/4/2013,SRH,SRH
CSK,MI,5/5/2013,MI,MI
RCB,KXIP,5/6/2013,KXIP,KXIP
RR,DC,5/7/2013,RR,RR
MI,KKR,5/7/2013,MI,MI
SRH,CSK,5/8/2013,SRH,CSK
KXIP,RR,5/9/2013,KXIP,RR
DC,RCB,5/10/2013,DC,RCB
KXIP,SRH,5/11/2013,KXIP,SRH
RCB,KKR,5/12/2013,Neutral,KKR
RR,CSK,5/12/2013,RR,RR
MI,SRH,5/13/2013,MI,MI
DC,CSK,5/14/2013,CSK,CSK
RCB,KXIP,5/14/2013,RCB,KXIP
RR,MI,5/15/2013,MI,MI
KXIP,DC,5/16/2013,KXIP,KXIP
SRH,RR,5/17/2013,SRH,SRH
RCB,CSK,5/18/2013,RCB,RCB
KXIP,MI,5/18/2013,KXIP,KXIP
KKR,SRH,5/19/2013,SRH,SRH
CSK,MI,5/21/2013,Neutral,CSK
SRH,RR,5/22/2013,Neutral,RR
RR,MI,5/24/2013,Neutral,MI
CSK,MI,5/26/2013,Neutral,MI
MI,KKR,4/16/2014,Neutral,KKR
DC,RCB,4/17/2014,Neutral,RCB
SRH,RR,4/18/2014,Neutral,RR
CSK,KXIP,4/18/2014,Neutral,KXIP
RCB,MI,4/19/2014,Neutral,RCB
KKR,DC,4/19/2014,Neutral,DC
KXIP,RR,4/20/2014,Neutral,KXIP
DC,CSK,4/21/2014,Neutral,CSK
KXIP,SRH,4/22/2014,Neutral,KXIP
RR,CSK,4/23/2014,Neutral,CSK
RCB,KKR,4/24/2014,Neutral,KKR
CSK,MI,4/25/2014,Neutral,CSK
DC,SRH,4/25/2014,Neutral,SRH
RCB,RR,4/26/2014,Neutral,RR
KKR,KXIP,4/26/2014,Neutral,KXIP
MI,DC,4/27/2014,Neutral,DC
SRH,CSK,4/27/2014,Neutral,CSK
RCB,KXIP,4/28/2014,Neutral,KXIP
KKR,RR,4/29/2014,Neutral,RR
MI,SRH,4/30/2014,Neutral,SRH
CSK,KKR,5/2/2014,CSK,CSK
KXIP,MI,5/3/2014,MI,MI
RR,DC,5/3/2014,DC,RR
SRH,RCB,5/4/2014,RCB,RCB
DC,CSK,5/5/2014,DC,CSK
KKR,RR,5/5/2014,RR,RR
RCB,MI,5/6/2014,MI,MI
KKR,DC,5/7/2014,DC,KKR
CSK,KXIP,5/7/2014,Neutral,KXIP
SRH,RR,5/8/2014,RR,SRH
RCB,KXIP,5/9/2014,RCB,KXIP
CSK,MI,5/10/2014,MI,CSK
DC,SRH,5/10/2014,DC,SRH
RCB,RR,5/11/2014,RCB,RR
KKR,KXIP,5/11/2014,Neutral,KKR
MI,SRH,5/12/2014,SRH,MI
DC,RCB,5/13/2014,RCB,RCB
RR,CSK,5/13/2014,CSK,CSK
KXIP,SRH,5/14/2014,SRH,KXIP
MI,KKR,5/14/2014,Neutral,KKR
RR,DC,5/15/2014,RR,RR
RCB,CSK,5/18/2014,CSK,RCB
KKR,SRH,5/18/2014,SRH,KKR
KXIP,DC,5/19/2014,DC,KXIP
RR,MI,5/19/2014,RR,MI
CSK,KKR,5/20/2014,KKR,KKR
SRH,RCB,5/20/2014,SRH,SRH
KXIP,MI,5/21/2014,KXIP,MI
SRH,CSK,5/22/2014,CSK,SRH
RCB,KKR,5/22/2014,KKR,KKR
MI,DC,5/23/2014,MI,MI
KXIP,RR,5/23/2014,KXIP,KXIP
RCB,CSK,5/24/2014,RCB,CSK
KKR,SRH,5/24/2014,KKR,KKR
KXIP,DC,5/25/2014,KXIP,KXIP
RR,MI,5/25/2014,MI,MI
KKR,KXIP,5/27/2014,KKR,KKR
CSK,MI,5/28/2014,MI,CSK
CSK,KXIP,5/30/2014,Neutral,KXIP
KKR,KXIP,6/1/2014,Neutral,KKR
MI,KKR,4/8/2015,KKR,KKR
DC,CSK,4/9/2015,CSK,CSK
KXIP,RR,4/10/2015,Neutral,RR
SRH,CSK,4/11/2015,CSK,CSK
RCB,KKR,4/11/2015,KKR,RCB
KXIP,MI,4/12/2015,MI,KXIP
RR,DC,4/12/2015,DC,RR
SRH,RCB,4/13/2015,RCB,SRH
RR,MI,4/14/2015,RR,RR
KXIP,DC,4/15/2015,Neutral,DC
SRH,RR,4/16/2015,Neutral,RR
CSK,MI,4/17/2015,MI,CSK
DC,SRH,4/18/2015,Neutral,DC
KKR,KXIP,4/18/2015,Neutral,KKR
RCB,MI,4/19/2015,RCB,MI
RR,CSK,4/19/2015,RR,RR
KKR,DC,4/20/2015,DC,KKR
KXIP,RR,4/21/2015,RR,KXIP
RCB,CSK,4/22/2015,RCB,CSK
KKR,SRH,4/22/2015,Neutral,SRH
MI,DC,4/23/2015,DC,DC
RCB,RR,4/24/2015,RR,RCB
MI,SRH,4/25/2015,MI,MI
CSK,KXIP,4/25/2015,CSK,CSK
DC,RCB,4/26/2015,DC,RCB
KKR,RR,4/26/2015,KKR,No Result
KXIP,SRH,4/27/2015,KXIP,SRH
CSK,KKR,4/28/2015,CSK,CSK
RCB,RR,4/29/2015,RCB,No Result
CSK,KKR,4/30/2015,KKR,KKR
KXIP,DC,5/1/2015,DC,DC
RR,MI,5/1/2015,MI,MI
SRH,CSK,5/2/2015,SRH,SRH
RCB,KKR,5/2/2015,RCB,RCB
KXIP,MI,5/3/2015,KXIP,MI
RR,DC,5/3/2015,Neutral,RR
RCB,CSK,5/4/2015,CSK,CSK
KKR,SRH,5/4/2015,KKR,KKR
MI,DC,5/5/2015,MI,MI
RCB,KXIP,5/6/2015,RCB,RCB
SRH,RR,5/7/2015,Neutral,SRH
KKR,DC,5/7/2015,KKR,KKR
CSK,MI,5/8/2015,CSK,MI
DC,SRH,5/9/2015,DC,SRH
KKR,KXIP,5/9/2015,KKR,KKR
RCB,MI,5/10/2015,MI,RCB
RR,CSK,5/10/2015,CSK,CSK
KXIP,SRH,5/11/2015,SRH,SRH
DC,CSK,5/12/2015,DC,DC
RCB,KXIP,5/13/2015,KXIP,KXIP
MI,KKR,5/14/2015,MI,MI
SRH,RCB,5/15/2015,SRH,RCB
KKR,RR,5/16/2015,Neutral,RR
CSK,KXIP,5/16/2015,KXIP,CSK
MI,SRH,5/17/2015,SRH,MI
DC,RCB,5/17/2015,RCB,No Result
CSK,MI,5/19/2015,MI,MI
RCB,RR,5/20/2015,Neutral,RCB
RCB,CSK,5/22/2015,CSK,CSK
CSK,MI,5/24/2015,Neutral,MI
KKR,DC,4/10/2016,KKR,KKR
SRH,RCB,4/12/2016,RCB,RCB
MI,KKR,4/13/2016,KKR,MI
KXIP,DC,4/15/2016,DC,DC
KKR,SRH,4/16/2016,SRH,KKR
DC,RCB,4/17/2016,RCB,DC
MI,SRH,4/18/2016,SRH,SRH
KKR,KXIP,4/19/2016,KXIP,KKR
RCB,MI,4/20/2016,MI,MI
MI,DC,4/23/2016,DC,DC
KXIP,SRH,4/23/2016,SRH,SRH
KXIP,MI,4/25/2016,KXIP,MI
MI,KKR,4/28/2016,MI,MI
SRH,RCB,4/30/2016,SRH,SRH
KKR,DC,4/30/2016,DC,DC
RCB,KKR,5/2/2016,RCB,KKR
KKR,KXIP,5/4/2016,KKR,KKR
KXIP,DC,5/7/2016,KXIP,KXIP
MI,SRH,5/8/2016,Neutral,SRH
RCB,KXIP,5/9/2016,KXIP,RCB
RCB,MI,5/11/2016,RCB,MI
DC,SRH,5/12/2016,SRH,DC
KXIP,MI,5/13/2016,Neutral,KXIP
MI,DC,5/15/2016,Neutral,MI
KXIP,SRH,5/15/2016,KXIP,SRH
RCB,KKR,5/16/2016,KKR,RCB
RCB,KXIP,5/18/2016,RCB,RCB
DC,SRH,5/20/2016,DC,DC
DC,RCB,5/22/2016,DC,RCB
KKR,SRH,5/22/2016,KKR,KKR
KKR,SRH,5/25/2016,Neutral,SRH
SRH,RCB,5/29/2016,RCB,SRH
SRH,RCB,4/5/2017,SRH,SRH
DC,RCB,4/8/2017,RCB,RCB
MI,KKR,4/9/2017,MI,MI
RCB,KXIP,4/10/2017,KXIP,KXIP
MI,SRH,4/12/2017,MI,MI
KKR,KXIP,4/13/2017,KKR,KKR
RCB,MI,4/14/2017,RCB,MI
KXIP,DC,4/15/2017,DC,DC
KKR,SRH,4/15/2017,KKR,KKR
KKR,DC,4/17/2017,DC,KKR
KXIP,SRH,4/17/2017,SRH,SRH
DC,SRH,4/19/2017,SRH,SRH
KXIP,MI,4/20/2017,KXIP,MI
MI,DC,4/22/2017,MI,MI
RCB,KKR,4/23/2017,KKR,KKR
SRH,RCB,4/25/2017,RCB,No Result
KKR,DC,4/28/2017,KKR,KKR
KXIP,SRH,4/28/2017,KXIP,SRH
KXIP,DC,4/30/2017,KXIP,KXIP
KKR,SRH,4/30/2017,SRH,SRH
RCB,MI,5/1/2017,MI,MI
DC,SRH,5/2/2017,DC,DC
RCB,KXIP,5/5/2017,RCB,KXIP
MI,DC,5/6/2017,DC,MI
RCB,KKR,5/7/2017,RCB,KKR
MI,SRH,5/8/2017,SRH,SRH
KKR,KXIP,5/9/2017,KXIP,KXIP
KXIP,MI,5/11/2017,MI,KXIP
MI,KKR,5/13/2017,KKR,MI
DC,RCB,5/14/2017,DC,RCB
KKR,SRH,5/17/2017,Neutral,KKR
MI,KKR,5/19/2017,Neutral,MI
CSK,MI,4/7/2018,MI,CSK
KXIP,DC,4/8/2018,KXIP,KXIP
RCB,KKR,4/8/2018,KKR,KKR
SRH,RR,4/9/2018,SRH,SRH
CSK,KKR,4/10/2018,CSK,CSK
RR,DC,4/11/2018,RR,RR
MI,SRH,4/12/2018,SRH,SRH
RCB,KXIP,4/13/2018,RCB,RCB
MI,DC,4/14/2018,MI,DC
KKR,SRH,4/14/2018,KKR,SRH
RCB,RR,4/15/2018,RCB,RR
CSK,KXIP,4/15/2018,KXIP,KXIP
KKR,DC,4/16/2018,KKR,KKR
RCB,MI,4/17/2018,MI,MI
KKR,RR,4/18/2018,RR,KKR
KXIP,SRH,4/19/2018,KXIP,KXIP
RR,CSK,4/20/2018,CSK,CSK
DC,RCB,4/21/2018,RCB,RCB
KKR,KXIP,4/21/2018,KKR,KXIP
SRH,CSK,4/22/2018,SRH,CSK
RR,MI,4/22/2018,RR,RR
KXIP,DC,4/23/2018,DC,KXIP
MI,SRH,4/24/2018,MI,SRH
RCB,CSK,4/25/2018,RCB,CSK
KXIP,SRH,4/26/2018,SRH,SRH
KKR,DC,4/27/2018,DC,DC
CSK,MI,4/28/2018,CSK,MI
SRH,RR,4/29/2018,RR,SRH
RCB,KKR,4/29/2018,RCB,KKR
DC,CSK,4/30/2018,CSK,CSK
RCB,MI,5/1/2018,RCB,RCB
RR,DC,5/2/2018,DC,DC
CSK,KKR,5/3/2018,KKR,KKR
KXIP,MI,5/4/2018,KXIP,MI
RCB,CSK,5/5/2018,CSK,CSK
DC,SRH,5/5/2018,SRH,SRH
KXIP,RR,5/6/2018,KXIP,KXIP
MI,KKR,5/6/2018,MI,MI
SRH,RCB,5/7/2018,SRH,SRH
KXIP,RR,5/8/2018,RR,RR
MI,KKR,5/9/2018,KKR,MI
DC,SRH,5/10/2018,DC,SRH
RR,CSK,5/11/2018,RR,RR
DC,RCB,5/12/2018,DC,RCB
KKR,KXIP,5/12/2018,KXIP,KKR
SRH,CSK,5/13/2018,CSK,CSK
RR,MI,5/13/2018,MI,RR
RCB,KXIP,5/14/2018,KXIP,RCB
KKR,RR,5/15/2018,KKR,KKR
KXIP,MI,5/16/2018,MI,MI
SRH,RCB,5/17/2018,RCB,RCB
DC,CSK,5/18/2018,DC,DC
RCB,RR,5/19/2018,RR,RR
KKR,SRH,5/19/2018,SRH,KKR
MI,DC,5/20/2018,DC,DC
CSK,KXIP,5/20/2018,CSK,CSK
SRH,CSK,5/22/2018,Neutral,CSK
KKR,RR,5/23/2018,KKR,KKR
KKR,SRH,5/25/2018,KKR,SRH
SRH,CSK,5/27/2018,Neutral,CSK
RCB,CSK,3/23/2019,CSK,CSK
